"x","y","psi_numerical","psi_exact","error"
  0.0084,  0.0127,  0.2626574E-01,  0.2633972E-01, -0.7398493E-04
  0.0112,  0.0127,  0.3506853E-01,  0.3519886E-01, -0.1303325E-03
  0.0150,  0.0127,  0.4676465E-01,  0.4696986E-01, -0.2052102E-03
  0.0199,  0.0127,  0.6225106E-01,  0.6255542E-01, -0.3043682E-03
  0.0265,  0.0127,  0.8265919E-01,  0.8309425E-01, -0.4350617E-03
  0.0351,  0.0127,  0.1093803E+00,  0.1099865E+00, -0.6062121E-03
  0.0463,  0.0127,  0.1440606E+00,  0.1448889E+00, -0.8283693E-03
  0.0608,  0.0127,  0.1885325E+00,  0.1896457E+00, -0.1113256E-02
  0.0792,  0.0127,  0.2446323E+00,  0.2461048E+00, -0.1472561E-02
  0.1023,  0.0127,  0.3138388E+00,  0.3157543E+00, -0.1915565E-02
  0.1308,  0.0127,  0.3966842E+00,  0.3991295E+00, -0.2445283E-02
  0.1650,  0.0127,  0.4919623E+00,  0.4950157E+00, -0.3053310E-02
  0.2049,  0.0127,  0.5959380E+00,  0.5996526E+00, -0.3714631E-02
  0.2499,  0.0127,  0.7020026E+00,  0.7063877E+00, -0.4385107E-02
  0.2989,  0.0127,  0.8013329E+00,  0.8063379E+00, -0.5005005E-02
  0.3500,  0.0127,  0.8847922E+00,  0.8903022E+00, -0.5509926E-02
  0.4011,  0.0127,  0.9455209E+00,  0.9513687E+00, -0.5847734E-02
  0.4501,  0.0127,  0.9809420E+00,  0.9869429E+00, -0.6000912E-02
  0.4951,  0.0127,  0.9931093E+00,  0.9990919E+00, -0.5982613E-02
  0.5350,  0.0127,  0.9873403E+00,  0.9931687E+00, -0.5828409E-02
  0.5692,  0.0127,  0.9701042E+00,  0.9756882E+00, -0.5583973E-02
  0.5977,  0.0127,  0.9472565E+00,  0.9525502E+00, -0.5293639E-02
  0.6208,  0.0127,  0.9231378E+00,  0.9281312E+00, -0.4993361E-02
  0.6392,  0.0127,  0.9004468E+00,  0.9051550E+00, -0.4708198E-02
  0.6537,  0.0127,  0.8805445E+00,  0.8849974E+00, -0.4452880E-02
  0.6649,  0.0127,  0.8638799E+00,  0.8681138E+00, -0.4233905E-02
  0.6735,  0.0127,  0.8503669E+00,  0.8544190E+00, -0.4052042E-02
  0.6801,  0.0127,  0.8396563E+00,  0.8435609E+00, -0.3904585E-02
  0.6850,  0.0127,  0.8313049E+00,  0.8350920E+00, -0.3787084E-02
  0.6888,  0.0127,  0.8248705E+00,  0.8285651E+00, -0.3694561E-02
  0.6916,  0.0127,  0.8199564E+00,  0.8235786E+00, -0.3622286E-02
  0.6937,  0.0127,  0.8162274E+00,  0.8197935E+00, -0.3566161E-02
  0.6953,  0.0127,  0.8134112E+00,  0.8169340E+00, -0.3522799E-02
  0.0047,  0.0210,  0.1468590E-01,  0.1468590E-01, -0.1572567E-11
  0.0063,  0.0210,  0.1960397E-01,  0.1966206E-01, -0.5809275E-04
  0.0084,  0.0210,  0.2616777E-01,  0.2630340E-01, -0.1356302E-03
  0.0112,  0.0210,  0.3491140E-01,  0.3515033E-01, -0.2389287E-03
  0.0150,  0.0210,  0.4652890E-01,  0.4690509E-01, -0.3761973E-03
