"Block","X","Y","Exact_dFdx","Approx_dFdx","Exact_dFdy","Approx_dFdy","Exact_Lapl","Approx_Lapl"
 1,  0.6915,  0.3952, -0.5748899E+00, -0.5748899E+00, -0.2450847E+01, -0.2450847E+01, -0.5261238E+01, -0.5261244E+01
 1,  0.6930,  0.3952, -0.5788914E+00, -0.5788913E+00, -0.2442764E+01, -0.2442764E+01, -0.5243888E+01, -0.5243622E+01
 1,  0.6943,  0.3952, -0.5821708E+00, -0.5821716E+00, -0.2436079E+01, -0.2436079E+01, -0.5229536E+01, -0.5232884E+01
 1,  0.6953,  0.3952, -0.5848579E+00, -0.5848480E+00, -0.2430559E+01, -0.2430559E+01, -0.5217686E+01, -0.5162616E+01
 1,  0.0047,  0.3973,  0.9957921E+00,  0.9957951E+00, -0.4385264E-01, -0.4385264E-01, -0.9209562E-01, -0.1088392E+00
 1,  0.0057,  0.3973,  0.9957396E+00,  0.9957393E+00, -0.5348154E-01, -0.5348155E-01, -0.1123174E+00, -0.1112990E+00
 1,  0.0070,  0.3973,  0.9956615E+00,  0.9956615E+00, -0.6520296E-01, -0.6520297E-01, -0.1369338E+00, -0.1370154E+00
 1,  0.0085,  0.3973,  0.9955458E+00,  0.9955458E+00, -0.7946091E-01, -0.7946092E-01, -0.1668771E+00, -0.1668773E+00
 1,  0.0103,  0.3973,  0.9953744E+00,  0.9953744E+00, -0.9678831E-01, -0.9678831E-01, -0.2032667E+00, -0.2032759E+00
 1,  0.0126,  0.3973,  0.9951211E+00,  0.9951211E+00, -0.1178221E+00, -0.1178221E+00, -0.2474400E+00, -0.2474502E+00
 1,  0.0153,  0.3973,  0.9947472E+00,  0.9947472E+00, -0.1433195E+00, -0.1433195E+00, -0.3009875E+00, -0.3010001E+00
 1,  0.0186,  0.3973,  0.9941970E+00,  0.9941970E+00, -0.1741747E+00, -0.1741748E+00, -0.3657871E+00, -0.3658024E+00
 1,  0.0226,  0.3973,  0.9933894E+00,  0.9933894E+00, -0.2114349E+00, -0.2114349E+00, -0.4440377E+00, -0.4440563E+00
 1,  0.0274,  0.3973,  0.9922083E+00,  0.9922083E+00, -0.2563122E+00, -0.2563122E+00, -0.5382854E+00, -0.5383078E+00
 1,  0.0332,  0.3973,  0.9904885E+00,  0.9904885E+00, -0.3101901E+00, -0.3101902E+00, -0.6514352E+00, -0.6514624E+00
 1,  0.0401,  0.3973,  0.9879972E+00,  0.9879972E+00, -0.3746168E+00, -0.3746168E+00, -0.7867386E+00, -0.7867714E+00
 1,  0.0484,  0.3973,  0.9844110E+00,  0.9844110E+00, -0.4512790E+00, -0.4512791E+00, -0.9477382E+00, -0.9477778E+00
 1,  0.0582,  0.3973,  0.9792876E+00,  0.9792876E+00, -0.5419470E+00, -0.5419470E+00, -0.1138151E+01, -0.1138199E+01
 1,  0.0698,  0.3973,  0.9720346E+00,  0.9720346E+00, -0.6483756E+00, -0.6483756E+00, -0.1361664E+01, -0.1361721E+01
 1,  0.0834,  0.3973,  0.9618774E+00,  0.9618774E+00, -0.7721502E+00, -0.7721502E+00, -0.1621605E+01, -0.1621672E+01
 1,  0.0993,  0.3973,  0.9478358E+00,  0.9478358E+00, -0.9144634E+00, -0.9144634E+00, -0.1920479E+01, -0.1920559E+01
 1,  0.1176,  0.3973,  0.9287168E+00,  0.9287168E+00, -0.1075819E+01, -0.1075819E+01, -0.2259344E+01, -0.2259438E+01
 1,  0.1385,  0.3973,  0.9031433E+00,  0.9031433E+00, -0.1255673E+01, -0.1255673E+01, -0.2637059E+01, -0.2637169E+01
 1,  0.1620,  0.3973,  0.8696323E+00,  0.8696323E+00, -0.1452059E+01, -0.1452059E+01, -0.3049491E+01, -0.3049618E+01
 1,  0.1883,  0.3973,  0.8267389E+00,  0.8267389E+00, -0.1661258E+01, -0.1661258E+01, -0.3488835E+01, -0.3488980E+01
 1,  0.2170,  0.3973,  0.7732677E+00,  0.7732677E+00, -0.1877653E+01, -0.1877653E+01, -0.3943288E+01, -0.3943452E+01
